5	369	13
4	369	6
3	98	14
1	98	18
2	98	23
1	345	23
3	345	26
2	345	29
4	427	19
3	217	12
4	409	26
5	409	13
5	317	16
2	317	10
3	317	6
3	147	28
1	209	25
4	209	22
4	425	19
2	425	10
5	425	24
3	413	26
4	413	14
5	284	26
4	284	28
5	172	28
4	172	10
2	35	24
4	137	7
1	137	13
1	352	20
2	52	13
2	311	19
4	311	5
5	311	16
4	346	28
3	346	7
1	346	26
2	350	11
1	350	23
4	231	12
3	231	21
3	73	6
4	73	16
5	78	9
2	78	8
1	78	27
4	276	14
5	276	11
2	107	22
3	107	18
2	241	27
5	241	20
2	354	26
5	354	27
1	354	22
5	411	16
1	411	9
2	411	5
3	61	5
2	61	23
3	106	20
2	33	27
1	212	20
4	212	26
2	212	23
5	355	12
3	355	28
2	189	10
3	189	23
1	189	10
2	165	15
1	220	14
2	220	21
3	220	26
4	88	10
3	88	18
2	173	16
1	173	29
4	173	15
2	263	25
3	263	18
4	223	23
5	223	9
1	277	15
4	277	27
2	215	24
4	353	23
2	298	13
5	187	17
2	187	19
5	203	7
1	203	12
1	20	10
2	20	23
3	364	5
2	364	25
1	134	21
5	134	28
3	134	18
2	236	20
4	236	6
5	313	11
3	313	27
4	151	26
5	151	24
3	151	9
3	89	17
5	89	12
1	89	13
1	466	17
2	420	27
1	420	11
4	420	26
2	201	13
5	201	20
3	422	29
5	178	27
4	178	22
1	178	14
3	358	14
1	282	10
4	282	22
2	282	26
5	116	14
1	116	15
5	97	12
3	97	22
5	360	21
4	410	8
1	376	25
3	476	21
1	476	16
2	476	28
5	373	24
1	272	15
2	272	12
4	128	28
5	128	7
1	389	15
5	47	27
2	47	9
3	47	26
3	406	11
1	312	7
3	312	14
4	312	26
2	258	27
4	72	17
1	72	14
2	72	20
3	339	15
2	339	6
1	154	11
2	63	26
4	63	21
5	63	29
1	192	16
4	192	22
2	192	12
1	84	16
5	84	24
4	84	24
3	152	12
2	323	16
5	306	8
4	306	26
4	245	5
3	245	22
3	206	8
2	206	28
2	319	19
4	319	15
